address,orientation,bearing,nearest_road,road_distance_m
10 MELNOTTE AVENUE,Unknown,,,0.03
11 MELNOTTE AVENUE,Unknown,,,0.03
12 MELNOTTE AVENUE,Unknown,,,0.03
13 MELNOTTE AVENUE,Unknown,,,0.03
14 MELNOTTE AVENUE,Unknown,,,0.03
15 MELNOTTE AVENUE,Unknown,,,0.03
17 MELNOTTE AVENUE,Unknown,,,0.03
37 BABBAGE ROAD,Unknown,,,0.02
39 BABBAGE ROAD,Unknown,,,0.02
40 BABBAGE ROAD,Unknown,,,0.02
41 BABBAGE ROAD,Unknown,,,0.02
472 PENSHURST STREET,Unknown,,,0.02
474 PENSHURST STREET,Unknown,,,0.02
43 WILLIAM STREET,Unknown,,,0.03
44 WILLIAM STREET,Unknown,,,0.03
"UNIT 4, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 7, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 9, 167 PACIFIC HIGHWAY",Unknown,,,0.04
170 PACIFIC HIGHWAY,Unknown,,,0.04
172 PACIFIC HIGHWAY,Unknown,,,0.04
"UNIT 10, 174 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 11, 174 PACIFIC HIGHWAY",Unknown,,,0.04
5 SCOTT CRESCENT,Unknown,,,0.02
6 SCOTT CRESCENT,Unknown,,,0.02
71 BABBAGE ROAD,Unknown,,,0.02
73 BABBAGE ROAD,Unknown,,,0.02
74 BABBAGE ROAD,Unknown,,,0.02
75 BABBAGE ROAD,Unknown,,,0.02
"UNIT 5, 184 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 6, 184 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 2, 19-21 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 3, 19-21 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 8, 19-21 PACIFIC HIGHWAY",Unknown,,,0.03
45 WILLIAM STREET,Unknown,,,0.03
46 WILLIAM STREET,Unknown,,,0.03
47 WILLIAM STREET,Unknown,,,0.03
48 WILLIAM STREET,Unknown,,,0.03
49 WILLIAM STREET,Unknown,,,0.03
77 BABBAGE ROAD,Unknown,,,0.02
79 BABBAGE ROAD,Unknown,,,0.02
81 BABBAGE ROAD,Unknown,,,0.02
83 BABBAGE ROAD,Unknown,,,0.02
110 PACIFIC HIGHWAY,Unknown,,,0.04
132 PACIFIC HIGHWAY,Unknown,,,0.04
"UNIT 10, 134 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 2, 134 PACIFIC HIGHWAY",Unknown,,,0.04
10 CLIVE STREET,Unknown,,,0.02
12 CLIVE STREET,Unknown,,,0.02
95 BABBAGE ROAD,Unknown,,,0.02
96 BABBAGE ROAD,Unknown,,,0.02
8 PARK AVENUE,Unknown,,,0.03
417 PENSHURST STREET,Unknown,,,0.02
419 PENSHURST STREET,Unknown,,,0.02
421 PENSHURST STREET,Unknown,,,0.02
55 BOUNDARY STREET,Unknown,,,0.03
11 KOONGARA ROAD,Unknown,,,0.02
12 KOONGARA ROAD,Unknown,,,0.02
14 KOONGARA ROAD,Unknown,,,0.02
16 KOONGARA ROAD,Unknown,,,0.02
18 KOONGARA ROAD,Unknown,,,0.02
81 BOUNDARY STREET,Unknown,,,0.02
17 ARCHBOLD ROAD,Unknown,,,0.03
19A ARCHBOLD ROAD,Unknown,,,0.03
19 ARCHBOLD ROAD,Unknown,,,0.03
20 ARCHBOLD ROAD,Unknown,,,0.03
21 ARCHBOLD ROAD,Unknown,,,0.03
22A ARCHBOLD ROAD,Unknown,,,0.03
24 ARCHBOLD ROAD,Unknown,,,0.03
25 ARCHBOLD ROAD,Unknown,,,0.03
26 ARCHBOLD ROAD,Unknown,,,0.03
78 BOUNDARY STREET,Unknown,,,0.02
79 BOUNDARY STREET,Unknown,,,0.03
3 GREGORY STREET,Unknown,,,0.03
7 GREGORY STREET,Unknown,,,0.03
2 BROMBOROUGH ROAD,Unknown,,,0.04
20 BROMBOROUGH ROAD,Unknown,,,0.04
22 BROMBOROUGH ROAD,Unknown,,,0.04
23 BROMBOROUGH ROAD,Unknown,,,0.04
24 BROMBOROUGH ROAD,Unknown,,,0.04
134 PACIFIC HIGHWAY,Unknown,,,0.04
136 PACIFIC HIGHWAY,Unknown,,,0.04
148 PACIFIC HIGHWAY,Unknown,,,0.04
"UNIT 1, 154 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 3, 154 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 10, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 12, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 13, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 2, 167 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 1, 18 PACIFIC HIGHWAY",Unknown,,,0.03
5 KOONGARA ROAD,Unknown,,,0.02
6 KOONGARA ROAD,Unknown,,,0.02
77 BOUNDARY STREET,Unknown,,,0.02
26A VICTORIA AVENUE,Unknown,,,0.01
13 TELAK CLOSE,Unknown,,,0.01
103 ASHLEY STREET,Unknown,,,0.02
113 ASHLEY STREET,Unknown,,,0.03
115 ASHLEY STREET,Unknown,,,0.03
117 ASHLEY STREET,Unknown,,,0.03
123 ASHLEY STREET,Unknown,,,0.03
125 ASHLEY STREET,Unknown,,,0.03
135 ASHLEY STREET,Unknown,,,0.03
141 ASHLEY STREET,Unknown,,,0.03
143 ASHLEY STREET,Unknown,,,0.03
147 ASHLEY STREET,Unknown,,,0.03
149 ASHLEY STREET,Unknown,,,0.03
151 ASHLEY STREET,Unknown,,,0.03
153 ASHLEY STREET,Unknown,,,0.03
155 ASHLEY STREET,Unknown,,,0.03
157 ASHLEY STREET,Unknown,,,0.03
159 ASHLEY STREET,Unknown,,,0.03
165 ASHLEY STREET,Unknown,,,0.03
45 ASHLEY STREET,Unknown,,,0.02
47 ASHLEY STREET,Unknown,,,0.02
49 ASHLEY STREET,Unknown,,,0.02
51 ASHLEY STREET,Unknown,,,0.02
55 ASHLEY STREET,Unknown,,,0.02
59 ASHLEY STREET,Unknown,,,0.02
61 ASHLEY STREET,Unknown,,,0.02
69 ASHLEY STREET,Unknown,,,0.02
71 ASHLEY STREET,Unknown,,,0.02
73 ASHLEY STREET,Unknown,,,0.02
81 ASHLEY STREET,Unknown,,,0.02
83 ASHLEY STREET,Unknown,,,0.02
95 ASHLEY STREET,Unknown,,,0.02
"UNIT 308, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 105, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 205, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 101, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 136, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 102, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 409, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 133, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 602, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 212, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 210, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
10C THE OUTPOST,Unknown,,Morotai Crescent,0.0
"UNIT 211, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 307, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 608, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 128, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 405, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
7 CHARLES STREET,Unknown,,Edith Street,0.0
22 THE PARAPET,Unknown,,,0.0
24 THE PARAPET,Unknown,,,0.0
27 THE PARAPET,Unknown,,The Parapet,0.0
109 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
73 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
3 THE BARRICADE,Unknown,,,0.0
7 THE BARRICADE,Unknown,,,0.0
9 THE BARRICADE,Unknown,,,0.0
18 HOLLY STREET,Unknown,,,0.02
2A HOLLY STREET,Unknown,,,0.02
2B HOLLY STREET,Unknown,,,0.02
26 HOLLY STREET,Unknown,,,0.02
44 HOLLY STREET,Unknown,,,0.02
7 HOLLY STREET,Unknown,,,0.02
8 HOLLY STREET,Unknown,,,0.02
36 CAMMARAY ROAD,Unknown,,,0.01
1 CAMMARAY ROAD,Unknown,,,0.01
10 CAMMARAY ROAD,Unknown,,,0.01
12 CAMMARAY ROAD,Unknown,,,0.01
23 CAMMARAY ROAD,Unknown,,,0.01
30 CAMMARAY ROAD,Unknown,,,0.01
34 CAMMARAY ROAD,Unknown,,,0.01
4 WIDGIEWA ROAD,Unknown,,,0.0
6 THE PARAPET,Unknown,,The Parapet,0.0
11 THE RAMPART,Unknown,,,0.0
"UNIT 1, 125 EASTERN VALLEY WAY",Unknown,,,0.0
